Model,Horizon,MAE,MSE,RMSE,MAPE,R2,Accuracy
LSTM,3 min,15.4717,338.4819,18.3979,116.1681,-0.5631,46.2603
LSTM,5 min,15.7001,350.2786,18.7157,111.6306,-0.6113,47.2521
LSTM,8 min,15.8156,356.1876,18.8729,106.9555,-0.6263,48.3196
GRU,3 min,15.7557,352.0277,18.7624,114.0812,-0.6257,46.7112
GRU,5 min,15.9523,362.731,19.0455,109.7782,-0.6685,47.6694
GRU,8 min,16.088,370.286,19.2428,104.1268,-0.6907,48.9892
GraphWaveNet,3 min,11.0822,195.2829,13.9744,220.8454,-0.1906,31.1677
GraphWaveNet,5 min,10.8134,179.7807,13.4082,152.467,-0.044,39.6091
GraphWaveNet,8 min,11.6736,201.3735,14.1906,152.7652,-0.1508,39.5624
Transformer,3 min,15.6046,357.6826,18.9125,111.1404,-1.1807,47.3618
Transformer,5 min,17.5776,443.1571,21.0513,97.3957,-1.5736,50.6597
Transformer,8 min,18.1929,474.8418,21.7909,87.3172,-1.7136,53.3854
