Horizon,Comparison,Samples,LSTM Mean Error,GRU Mean Error,LSTM Std,GRU Std,95% CI Difference,T-test p-value,Wilcoxon p-value,GraphWaveNet Mean Error,GraphWaveNet Std,Transformer Mean Error,Transformer Std
3 min,LSTM vs GRU,414,15.47165298461914,15.755663871765137,9.967438697814941,10.199902534484863,"(-0.394686, -0.173336)",7.340080536774244e-07,5.976091721502375e-08,,,,
3 min,LSTM vs GraphWaveNet,90,16.22365951538086,,9.886978149414062,,"(2.262339, 8.020655)",0.0007288846351317272,0.0010937775450101214,11.082162857055664,8.560542106628418,,
3 min,LSTM vs Transformer,90,16.22365951538086,,9.886978149414062,,"(-2.051512, 3.289634)",0.6506871989749071,0.7521091007933789,,,15.604598999023438,10.745322227478027
3 min,GRU vs GraphWaveNet,90,,16.527727127075195,,10.032256126403809,"(2.557426, 8.333702)",0.00037854558832874866,0.0006305446014363701,11.082162857055664,8.560542106628418,,
3 min,GRU vs Transformer,90,,16.527727127075195,,10.032256126403809,"(-1.787596, 3.633853)",0.5061980086594549,0.6135778403006102,,,15.604598999023438,10.745322227478027
3 min,GraphWaveNet vs Transformer,90,,,,,"(-7.565219, -1.479653)",0.004523836862304945,0.013415040955286938,11.082162857055664,8.560542106628418,15.604598999023438,10.745322227478027
5 min,LSTM vs GRU,660,15.700141906738281,15.952338218688965,10.19517707824707,10.412405967712402,"(-0.309160, -0.195234)",3.150176909736316e-17,7.655293034617906e-16,,,,
5 min,LSTM vs GraphWaveNet,150,15.987763404846191,,10.251523971557617,,"(3.096523, 7.252266)",2.6888601563348597e-06,2.6868421124170597e-06,10.813368797302246,7.954472064971924,,
5 min,LSTM vs Transformer,150,15.987763404846191,,10.251523971557617,,"(-4.241498, 1.061851)",0.24181842431204392,0.23905971867005904,,,17.577587127685547,11.62265396118164
5 min,GRU vs GraphWaveNet,150,,16.27414321899414,,10.378385543823242,"(3.373999, 7.547548)",8.929586435789696e-07,1.1604447980127756e-06,10.813368797302246,7.954472064971924,,
5 min,GRU vs Transformer,150,,16.27414321899414,,10.378385543823242,"(-3.957244, 1.350354)",0.33726921815256194,0.32139631787793665,,,17.577587127685547,11.62265396118164
5 min,GraphWaveNet vs Transformer,150,,,,,"(-8.809770, -4.718666)",1.2529617430406252e-09,1.300922204449542e-08,10.813368797302246,7.954472064971924,17.577587127685547,11.62265396118164
8 min,LSTM vs GRU,984,15.815558433532715,16.08804702758789,10.303569793701172,10.562870979309082,"(-0.325101, -0.219873)",4.3172436055081435e-23,2.8177962163902283e-23,,,,
8 min,LSTM vs GraphWaveNet,216,15.695225715637207,,10.377423286437988,,"(2.492418, 5.550750)",5.748666871312199e-07,3.7090523129356144e-06,11.673643112182617,8.087174415588379,,
8 min,LSTM vs Transformer,216,15.695225715637207,,10.377423286437988,,"(-4.518109, -0.477143)",0.0162269349551822,0.000343792286096605,,,18.19285011291504,12.022106170654297
8 min,GRU vs GraphWaveNet,216,,15.980464935302734,,10.578268051147461,"(2.759377, 5.854272)",1.3409074189001303e-07,8.673262861798344e-07,11.673643112182617,8.087174415588379,,
8 min,GRU vs Transformer,216,,15.980464935302734,,10.578268051147461,"(-4.253573, -0.171198)",0.034779695580309945,0.0008968303588456413,,,18.19285011291504,12.022106170654297
8 min,GraphWaveNet vs Transformer,216,,,,,"(-8.348889, -4.689530)",3.537970645088446e-11,3.796316603176345e-09,11.673643112182617,8.087174415588379,18.19285011291504,12.022106170654297
