Remove-Item -Recurse -Force proposed_model\scripts\trainersimulation_time,location_id,junction_id,queue_length,downstream_queue_length
0,location_1,K1,5.0,3.802969003875036
1,location_1,K1,2.0831160985396044,12.904799807791086
2,location_1,K1,0.0,13.446788586617956
3,location_1,K1,0.0,5.528011078374899
4,location_1,K1,3.1737520180080203,0.4691105606471968
5,location_1,K1,1.5372368863697008,18.640120032885086
6,location_1,K1,0.0,4.649072068266291
7,location_1,K1,0.0,10.92897542488428
8,location_1,K1,0.0,15.97787706097063
9,location_1,K1,1.957054188869181,7.244809969423187
10,location_1,K1,4.722856533523612,7.764099704738925
11,location_1,K1,3.903222484500976,10.107315695328648
12,location_1,K1,4.654650448902919,18.2962588191508
13,location_1,K1,4.724574406038322,13.79793883950466
14,location_1,K1,4.335549933703282,5.036357784415653
15,location_1,K1,0.0,2.41015007923278
16,location_1,K1,1.508455237259675,1.3714225694357562
17,location_1,K1,3.7412524311018354,7.295515250078049
18,location_1,K1,1.3395301083759104,2.9243897566428245
19,location_1,K1,4.352985893654206,8.248675765933342
20,location_1,K1,3.802765272704861,11.643966113685416
21,location_1,K1,3.8707738656495176,4.705152093965761
22,location_1,K1,3.0251383389723703,13.72736487165244
23,location_1,K1,4.225425513838206,12.93919622814989
24,location_1,K1,3.7787195355505903,6.480572727028047
25,location_1,K1,5.029557694847196,8.995639596559602
26,location_1,K1,3.254215897665895,10.998390485156078
27,location_1,K1,5.304337094727611,0.0507245429266056
28,location_1,K1,0.2297993030989051,18.613650729810185
29,location_1,K1,1.8762367489664635,12.66877861635736
30,location_1,K1,0.0,14.550162987912785
31,location_1,K1,0.0,12.845043024999509
32,location_1,K1,3.5755822639767203,17.47226014987213
33,location_1,K1,3.8743659067507776,14.64916313667766
34,location_1,K1,5.268589898676725,9.51866714622047
35,location_1,K1,8.155603558998259,17.773953032779055
36,location_1,K1,6.343942651380841,5.286739853046529
37,location_1,K1,7.608459564243326,13.878897424552347
38,location_1,K1,6.278711976065834,4.497092551457602
39,location_1,K1,7.870323250418236,0.1820203326732294
40,location_1,K1,4.536655179208855,8.51518784541299
41,location_1,K1,3.591028577369796,5.531271710935648
42,location_1,K1,2.88948673146346,9.625668787695268
43,location_1,K1,5.383898673211435,0.3511079626867763
44,location_1,K1,5.4632999886630245,18.853982132865216
45,location_1,K1,5.698752631950672,2.083015637773875
46,location_1,K1,6.4074124648726265,5.973956903674635
47,location_1,K1,7.276657345644633,10.156495098986388
48,location_1,K1,5.029797240529336,18.23555010425403
49,location_1,K1,1.9142320704090008,7.322591646093917
50,location_1,K1,2.4450807377561325,10.288762297245936
51,location_1,K1,2.6709216802552245,9.242864725585097
52,location_1,K1,2.445075049546236,16.78047804874884
53,location_1,K1,2.8811159150218053,3.85973248748692
54,location_1,K1,0.7249312377048054,8.11565468402193
55,location_1,K1,3.957611182873523,9.307934649688953
56,location_1,K1,7.278063772627364,7.036091832090681
57,location_1,K1,7.157359263777551,9.775556541769443
58,location_1,K1,5.225325281432428,11.58851253719684
59,location_1,K1,3.865914677106703,4.99016336320784
0,location_1,K2,5.0,17.352208991681483
1,location_1,K2,6.597373799965712,18.62509259323226
2,location_1,K2,4.635586183389179,0.6190374327877257
3,location_1,K2,3.0441595396004875,4.300127097947102
4,location_1,K2,3.635207437537255,12.808268468538618
5,location_1,K2,1.8992715291347464,13.68211413584932
6,location_1,K2,3.092290830544788,8.96103399986222
7,location_1,K2,3.422047990922021,17.739072757151703
8,location_1,K2,3.162817264113127,18.26017452786724
9,location_1,K2,4.215284226548869,7.198581189310693
10,location_1,K2,4.875766457390521,12.616739673324844
11,location_1,K2,3.395292151904689,9.188729175093284
12,location_1,K2,3.456064592313697,1.7732681338972855
13,location_1,K2,5.565357185937119,14.776507738448876
14,location_1,K2,4.424050518678389,11.757894949294489
15,location_1,K2,2.557566338967687,12.723422958939192
16,location_1,K2,1.3792149815728612,18.932586391444627
17,location_1,K2,1.4369782265250863,16.915501623553148
18,location_1,K2,4.469424556723013,6.897543638586079
19,location_1,K2,3.844478948528044,12.621956925707092
20,location_1,K2,3.3374283059822925,17.192349090386678
21,location_1,K2,4.620985036417832,1.318489073906437
22,location_1,K2,2.710818086266028,2.716368947705108
23,location_1,K2,0.0081052486855331,0.0543320472559272
24,location_1,K2,0.6264612268860333,6.192939011271417
25,location_1,K2,2.60397471567896,11.789091671314324
26,location_1,K2,1.8753894512546556,5.414180345377524
27,location_1,K2,0.0,10.031793990393258
28,location_1,K2,0.0,3.3313160512887574
29,location_1,K2,0.0,19.30629311672621
30,location_1,K2,5.126383207471542,17.425071629655648
31,location_1,K2,6.966598954588736,16.968407841306718
32,location_1,K2,6.356328704132481,2.3591266559128754
33,location_1,K2,4.438625892065854,0.4757485494077351
34,location_1,K2,2.774705972101177,11.600947111274614
35,location_1,K2,5.721318240876666,0.0996181134750684
36,location_1,K2,4.811293202514981,8.859600613181778
37,location_1,K2,3.2436570625035657,12.171063991154192
38,location_1,K2,4.469609350365257,3.101684173769561
39,location_1,K2,3.2150600717216977,8.776370789087446
40,location_1,K2,3.135833022702628,15.804150408532674
41,location_1,K2,3.717160260793683,18.080402311386376
42,location_1,K2,3.676917334366923,5.14225471256572
