Model,MSE,MAE,RMSE,MAPE,R2,Horizon
TransGTR,130.24745178222656,8.098005294799805,11.41260051727295,114.71739196777344,0.515470027923584,3 min
LSTM,223.4666748046875,13.402995109558104,14.94880199432373,95.90188598632812,0.1686878204345703,3 min
GRU,221.55416870117188,13.306937217712402,14.884696006774902,94.56291961669922,0.17580246925354,3 min
GraphWaveNet,168.1073760986328,10.516910552978516,12.965622901916504,109.0312728881836,0.3746283650398254,3 min
TransGTR,133.14483642578125,8.167380332946777,11.538840293884276,116.14222717285156,0.5095447301864624,5 min
LSTM,223.75250244140625,13.425089836120604,14.958358764648438,99.04735565185548,0.1757803559303283,5 min
GRU,223.07850646972656,13.369491577148438,14.935812950134276,97.09727478027344,0.1782631278038025,5 min
GraphWaveNet,171.75242614746094,10.598580360412598,13.105435371398926,111.85419464111328,0.367328941822052,5 min
TransGTR,186.935,10.896,13.672,119.221,0.3,10 min
LSTM,242.159,13.722,15.561,102.361,0.093,10 min
GRU,244.614,13.744,15.64,100.249,0.083,10 min
GraphWaveNet,347.028,14.46,18.629,98.41,-0.3,10 min
